"Register D"	"Number of instructions executed"
1154621	98377040
3758416	98408774
8728660	98511985
5021123	98751633
2686749	98891300
9369873	98966889
11216249	99225934
14585265	99533867
14951613	99936076
9134914	100348344
242506	100599143
2272986	100605838
13024589	100670066
6714617	101029435
11611612	101215589
8773652	101534372
9922611	101775252
16705806	102047674
9241536	102508095
6889882	102761820
14453738	102950991
4664048	103349588
16021527	103477656
5603540	103919296
744707	104073152
4240647	104093637
13329021	104211884
9097842	104577812
9842961	104829388
15798345	105101425
8611894	105535141
16343467	105771583
12625885	106220258
9183041	106568679
10494121	106822600
8765814	107112508
4942738	107353171
542786	107488890
12104049	107505630
15154207	107839729
13478966	108255763
10781629	108625807
7605033	108923604
3350629	109134209
13410160	109226227
12995366	109596180
7843314	109954751
12048760	110170088
13085814	110500869
13996027	110860119
15846399	111244352
12716123	111679377
15503114	112030283
7767012	112457692
219796	112672735
7433351	112678807
13699404	112882895
9026752	113258994
8328095	113506818
3855005	113735469
1491346	113843125
6613164	113885898
1712611	114069266
15790331	114118115
15137740	114553399
4233300	114970770
13195391	115088814
2256136	115451074
15814718	115514847
5152485	115949011
11028402	116092283
10614248	116396856
7486928	116688255
9265110	116895612
7670584	117149981
8128834	117360586
305766	117585569
1356355	117595799
3850082	117634869
15713974	117742392
2434109	118173784
6039938	118240644
1829094	118408283
15311811	118458525
14019751	118878878
13794808	119263762
11600686	119644271
13086032	119962760
16047714	120322017
13837019	120764371
5969412	121144243
11354491	121308151
9082217	121619878
15846417	121871027
1390058	122306059
15541554	122344254
13094978	122770921
3748131	123130423
15337685	123233354
6670160	123656220
8559158	123839357
2746829	124076149
5649979	124151584
11856068	124308520
14629659	124635808
14298329	125037443
13206512	125431777
9446078	125794338
9159431	126055476
15069577	126306947
8966283	126720650
6139108	126968614
8496471	127137170
1076125	127370441
224661	127401818
8289429	127408023
10704192	127637409
4322958	127931286
3425083	128049988
9100275	128145849
10571621	128397488
14924641	128687725
3394999	129097452
5572875	129190681
13704153	129343704
6768505	129719929
4884951	129905768
11009103	130041697
7908294	130343939
3405976	130562860
446481	130656390
9041152	130670484
15888528	130918707
14650225	131356693
16583307	131758888
12596810	132214150
6842351	132561780
9073167	132751441
11794328	133002345
11502296	133326140
2708319	133641920
11399723	133716305
6266210	134029271
6528304	134201320
7641766	134380565
3947075	134592171
2208098	134702361
359354	134763012
294280	134772913
12679876	134782828
1712289	135130934
14164188	135179776
11924839	135570428
1266777	135897807
5417920	135932621
15767748	136083180
10139231	136517848
11116892	136798012
15787792	137103215
14197530	137538436
9462572	137930005
10407082	138191598
11169599	138479112
3501149	138787563
13143706	138883711
3554511	139246349
7613366	139345759
14733628	139556588
929480	139962871
5883547	139990223
725706	140151765
12528985	140171725
1521013	140515694
11957785	140557487
7396382	140887575
5495857	141092447
9571280	141243349
8193300	141507924
12912792	141732879
1511847	142087383
4791371	142128924
283472	142260492
4249154	142270113
12747639	142388591
4060929	142740358
5957265	142851871
14471554	143017235
6186958	143416322
14679342	143587993
15243060	143990986
16693662	144411255
13135808	144871340
13016250	145233761
10480247	145592899
187492	145880623
3768041	145887605
10830508	145991075
4765869	146288417
8541138	146421077
3631890	146657372
8782438	146757111
14000433	147000035
4989827	147384394
40499	147523207
16295778	147526157
7246536	147975322
1793791	148176078
15839268	148225354
13714391	148660190
1964987	149036695
2283619	149090668
16041234	149155190
3540186	149597369
6884047	149696387
7727738	149885397
15152591	150097563
4002359	150513548
2551958	150623458
3207327	150695344
6733240	150785220
918410	150971885
14939502	150998936
6527960	151409069
16067500	151588300
3206014	152029401
9324904	152119242
13641342	152377055
16061419	152753357
2286227	153194290
5124060	153258882
13851280	153401377
3088939	153781641
6206568	153866477
15271361	154038687
8029651	154457934
6603823	154680187
5909336	154863303
16631268	155027358
3853384	155483929
6916525	155591543
16384315	155781442
10567939	156233043
3620221	156523182
12426201	156622599
5539741	156963740
15211069	157117645
11609140	157537039
12398875	157855759
4710761	158196158
13515409	158325507
3121586	158698351
1588724	158784076
14801892	158829523
11460730	159235876
11627731	159552314
8572080	159871538
11235709	160108680
1232361	160417145
2614241	160452806
10836363	160524601
1085593	160822104
2646278	160853740
13467502	160928223
12335968	161297952
483074	161638421
15194234	161651724
2729587	162068850
1575586	162143816
4898419	162188906
8027184	162325206
11821781	162547396
2125768	162873746
4493594	162933935
13328462	163059126
16144835	163425040
7550727	163870061
11293269	164077376
2756448	164389222
5511216	164466729
2956463	164619857
13515784	164701053
4570809	165073911
13152864	165199417
8172549	165562307
2489394	165788487
6880777	165856859
9837212	166047577
2912955	166319453
10058258	166401251
9483827	166677397
13219050	166939571
13336117	167302475
13444950	167668599
435200	168037712
1498033	168051498
15457667	168094453
9533607	168518810
11329976	168780550
11847888	169093397
1652703	169420461
7059647	169465866
16515550	169659692
12291250	170114891
15518539	170452329
5445715	170880158
13973810	171029688
9430190	171413319
15600435	171672217
14575777	172102300
6159056	172504250
15811385	172673352
4074977	173107425
2853901	173221122
3800476	173299504
5789564	173403863
13317766	173564628
9836945	173930248
2029681	174202117
3482384	174259667
12157666	174355304
6552779	174689074
9372558	174868984
7871546	175126307
14808541	175344227
8200447	175750762
234060	175975906
5508519	175982370
2582865	176135421
16260785	176206362
5577572	176654568
11658678	176807717
991418	177127788
4559859	177155042
10102811	177280247
9279666	177559417
14592701	177814185
9881494	178216597
597966	178489684
13156148	178506137
10418470	178869118
2182904	179156947
5605073	179216905
841824	179370803
13635815	179395747
6501904	179771895
15726551	179950419
1970265	180382154
16647072	180438080
4208864	180896891
7393411	181014263
2009156	181219051
14257833	181276041
9387100	181667463
10334005	181925185
16214917	182208898
7736303	182654045
16223085	182868248
113479	183313619
13774035	183316772
10768038	183696714
4960103	183994140
9961333	184130335
11096467	184403814
8086293	184708457
1630723	184930472
8925950	184977074
3864575	185223932
2850325	185331847
9484822	185410131
10275431	185672333
11713854	185956235
618432	186279624
363642	186296637
2463505	186306657
9405529	186374322
5234244	186632548
10118591	186776268
2319347	187055865
16217397	187119568
6376761	187564785
1932523	187739872
14863916	187792956
3826755	188202816
9445606	188309702
10365581	188570826
7061702	188857206
14556651	189051088
8183451	189452513
7309102	189678987
15120158	189879666
9576134	190296561
5545361	190561269
4063807	190715328
13609588	190828724
2350395	191202352
6972855	191266909
13385035	191460154
6383701	191829421
7200642	192004697
12447516	192202394
10404618	192544123
565982	192831574
10479887	192848944
3233779	193136661
15034467	193225466
3581752	193638210
14637588	193738369
14711547	194140221
4563926	194545895
9264708	194671212
14115113	194925574
2528641	195313083
124429	195384332
46872	195387786
9285298	195390911
7268003	195645833
4746164	195847177
11241586	195979298
4560119	196287924
8756256	196413136
7406323	196653540
7134134	196856886
5940500	197054555
10783746	197219464
8336137	197517324
6426907	197746199
15534763	197924464
4958714	198350942
5403336	198487095
16703531	198637255
8511654	199097613
5835229	199331297
13753755	199491516
15465361	199869099
2479839	200293666
10582698	200361772
8098515	200652310
6088596	200874654
12938250	201043623
12970977	201398827
282461	201754920
2096021	201764513
7087847	201822084
9364522	202018486
7106663	202277384
9536548	202474304
5260267	202736128
16678071	202882361
13192646	203342019
3369498	203704202
13687961	203796738
671794	204174314
11327823	204194596
16143613	204507387
5575736	204952373
15987811	205105473
6699070	205544383
8624607	205730117
8870367	205966902
9089355	206210435
18067	206461780
9066218	206464114
3941981	206714822
12573532	206824872
16229420	207170059
14552645	207615605
11393010	208016925
6199396	208329702
3491897	208501716
12136682	208597612
5898273	208930808
11139836	209094562
1281345	209400388
16162601	209435601
9923503	209881112
14788973	210153555
3927491	210559558
9944935	210667403
6592201	210940434
7747592	211123228
9254669	211337746
14917925	211591835
2089849	212001380
10734715	212058783
13238702	212353493
10483260	212718742
275951	213006550
16079905	213015961
15060950	213457405
5159152	213870870
